index,hospital_name,city,state,hospital_type,beds,rating,nabh,specialties,address,latitude,longitude,disease,treatment,treatment_cost_inr,beds_for_specific_disease,patients_on_disease_beds,patients_treated_well,patients_not_treated_well
566,Medanta Hospital Indore,Indore,Madhya Pradesh,Private,300,4.5,Yes,Cardiac Sciences | Neurology | Oncology | Orthopedics | Liver Transplant,"Eastern Ring Road, Indore 452010",22.7099,75.8967,Obesity,Dietary and lifestyle programme with medical/surgical options if indicated,17900,30,27,22,5
567,Netralaya Super Speciality Eye Hospital,Ahmedabad,Gujarat,Private,30,4.6,Yes,Ophthalmology | Cataract | Retina,"101/102, KD House, Opposite Gujarat Gas, Parimal Garden Cross Road, Ellis Bridge, Ahmedabad 380006",22.992,72.596,Metabolic syndrome,Lifestyle modification with medical management of risk factors,16200,3,2,2,0
568,Apollo Greams Road,Chennai,Tamil Nadu,Private,710,4.6,Yes,Cardiology | Oncology | Transplant | Orthopedics | Neurology,"21 Greams Lane, Off Greams Road, Chennai 600006",13.0825,80.2362,Thyroid disorders,Hormone therapy with periodic thyroid-function monitoring,12900,30,22,17,5
569,Bombay Hospital,Mumbai,Maharashtra,Trust,750,4.3,Yes,Cardiology | Gastroenterology | Neurology | Oncology | Orthopedics,"12, New Marine Lines, Mumbai 400020",19.0498,72.9158,Hypothyroidism,Thyroid hormone replacement with periodic monitoring,4000,53,31,28,3
570,Shalby Hospital,Ahmedabad,Gujarat,Private,300,4.3,Yes,Joint Replacement | Orthopedics | Spine | Sports Medicine,"Opp Karnavati Club, SG Highway, Ahmedabad 380015",23.0038,72.5777,Hyperthyroidism,Antithyroid medication with periodic thyroid-function monitoring,24300,20,16,14,2
571,Image Hospitals,Hyderabad,Telangana,Private,200,4,Yes,Gastroenterology | Hepatology | Liver Transplant | Bariatric Surgery,"6-3-562/A, Erramanzil Colony, Ameerpet, Hyderabad 500082",17.3512,78.5206,PCOS,Hormonal and lifestyle management with periodic monitoring,21300,14,13,11,2
572,Vikram Hospital Mysore,Mysuru,Karnataka,Private,150,4.3,Yes,Cardiac Sciences | Neurology | Orthopedics | General Medicine,"Yadavagiri, Mysore 570020",12.3211,76.6026,Chronic kidney disease,Medication and dietary management with regular dialysis where needed,94100,10,8,8,0
573,Fortis Escorts Hospital Jaipur,Jaipur,Rajasthan,Private,200,4.5,Yes,Cardiac Sciences | Cardiac Surgery | Vascular Surgery,"JLN Marg, Malviya Nagar, Jaipur 302017",26.8925,75.7582,End-stage renal disease,Regular dialysis with evaluation for kidney transplant,1254900,18,15,12,3
574,KIMS Bhubaneswar,Bhubaneswar,Odisha,Trust,1450,4.3,Yes,Cardiology | Cardiothoracic Surgery | Oncology | Neurosurgery | Transplant,"KIIT Campus, Patia, Bhubaneswar 751024",20.3371,85.8048,Kidney stones,Lithotripsy/surgical removal with pain management,58100,116,74,67,7
575,Saifee Hospital,Mumbai,Maharashtra,Trust,210,4.3,Yes,Bariatric Surgery | Orthopedics | Cardiac Sciences | General Medicine,"15/17 Maharshi Karve Road, Charni Road, Mumbai 400004",19.0675,72.8863,Acute kidney injury,"Hospitalisation with fluid management, dialysis support if needed",75100,20,12,11,1
576,Rajiv Gandhi GGH,Chennai,Tamil Nadu,Government,2400,4.1,Yes,General Medicine | Surgery | Trauma | Burns | Paediatrics,"Park Town, EVR Periyar Salai, Chennai 600003",13.0517,80.2836,Urinary tract infection (UTI),Antibiotic therapy with hydration and hygiene counselling,2500,98,63,59,4
577,Wenlock District Hospital,Mangaluru,Karnataka,Government,600,3.8,No,General Medicine | Surgery | Gynaecology | Paediatrics | Trauma,"Hampankatta, Mangalore 575001",12.9326,74.8351,Kidney infection,Antibiotic therapy with hydration and monitoring,8700,20,17,15,2
578,NIMHANS,Bengaluru,Karnataka,Government,897,4.6,Yes,Psychiatry | Neurology | Neurosurgery | Clinical Psychology,"Hosur Road, Lakkasandra, Wilson Garden, Bangalore 560029",12.9926,77.6296,Glomerulonephritis,Immunosuppressive therapy with renal function monitoring,16500,84,59,53,6
579,Vivekananda Polyclinic and Institute of Medical Sciences,Lucknow,Uttar Pradesh,Trust,300,4.4,Yes,General Medicine | Cardiac Sciences | Orthopedics | Surgery,"5, Vivekananda Marg, Nirala Nagar, Lucknow 226020",26.881,80.978,Nephrotic syndrome,Immunosuppressive therapy with renal monitoring,59500,12,9,8,1
580,Manipal Hospital Kolkata,Kolkata,West Bengal,Private,350,4.3,Yes,Cardiac Sciences | Neurology | Oncology | Transplant | Gastroenterology,"Plot No 130, Action Area III, Newtown, Kolkata 700156",22.5394,88.3833,Prostate enlargement,Medication with surgical management (TURP) if indicated,78100,14,10,8,2
581,Apollo Speciality Hospital OMR,Chennai,Tamil Nadu,Private,118,4.3,Yes,Cardiology | Neurology | Orthopedics | Oncology | Gastroenterology | Critical Care,"5/639, Old Mahabalipuram Road, Perungudi, Chennai 600096",13.1088,80.229,Kidney cancer,Surgical resection with chemotherapy/targeted therapy as indicated,420600,3,2,2,0
582,Bhailal Amin General Hospital,Vadodara,Gujarat,Trust,300,4.2,Yes,General Medicine | Cardiology | Orthopedics | Neurology | Gynaecology,"Sevasi Sankheda Road, Vadodara 391101",22.3396,73.1778,Asthma,Inhaled bronchodilators and corticosteroids with trigger management,3000,6,4,4,0
583,Apollo Navi Mumbai,Mumbai,Maharashtra,Private,260,4.4,Yes,Cardiac Sciences | Neurology | Oncology | Orthopedics | Transplant,"Plot 13, Sector 23, CBD Belapur, Navi Mumbai 400614",19.0584,72.9037,COPD,Inhaled bronchodilators/steroids with pulmonary rehabilitation,33800,12,9,8,1
584,Synergy Hospital Dehradun,Dehradun,Uttarakhand,Private,150,4.3,Yes,Cardiology | Neurology | Orthopedics | Critical Care | Nephrology,"Eastern Patel Nagar, Dehradun 248001",30.3124,78.0693,Bronchitis,Bronchodilators and antibiotics (if bacterial) with rest and hydration,1200,15,8,6,2
585,Nidhi Hospital,Ahmedabad,Gujarat,Private,100,4.3,Yes,Cardiology | Orthopedics | Gynaecology | Maternity | Paediatrics | General Medicine | Surgery,"Stadium Commerce College Road, Navrangpura, Ahmedabad 380009",23.0333,72.6092,Pulmonary fibrosis,Antifibrotic medication with pulmonary rehabilitation,141600,8,7,7,0
586,AIG Hospitals,Hyderabad,Telangana,Private,450,4.7,Yes,Gastroenterology | Liver Transplant | Hepatology | Surgical Gastro,"Mindspace Road, Gachibowli, Hyderabad 500032",17.3621,78.48,Lung cancer,Surgery/chemotherapy/radiotherapy as per oncology protocol,628900,48,35,30,5
587,Ayursundra Superspeciality Hospital,Guwahati,Assam,Private,210,4.3,Yes,Cardiology | Cardiothoracic Surgery | Neurology | Orthopedics | Bariatric Surgery,"VIP Road, Six Mile, Guwahati 781022",26.1779,91.6923,Sleep apnea,CPAP therapy with lifestyle modification,40200,20,14,12,2
588,Shri Balaji Institute of Medical Science,Raipur,Chhattisgarh,Trust,200,4.1,Yes,Cardiology | Neurology | Orthopedics | Gynaecology | Paediatrics,"Mowa, Raipur 492001",21.2693,81.6003,Respiratory infections,Antibiotics/antivirals with supportive care,6900,17,12,11,1
589,Apollo Hospitals Ahmedabad,Ahmedabad,Gujarat,Private,400,4.4,Yes,Cardiac Sciences | Transplant | Oncology | Orthopedics,"Plot No 1A, Bhat GIDC Estate, Gandhinagar 382428",23.0546,72.5591,Pulmonary hypertension,Vasodilator therapy with cardiology/pulmonology follow-up,235000,10,8,7,1
590,Bombay Hospital Indore,Indore,Madhya Pradesh,Private,600,4.4,Yes,Cardiac Sciences | Neurology | Oncology | Orthopedics | Transplant,"Eastern Ring Road, Vijay Nagar, Indore 452010",22.7151,75.8747,Stroke,Emergency thrombolysis/clot management with rehabilitation,468400,38,27,23,4
591,BLK-Max Super Speciality,Delhi,Delhi,Private,700,4.4,Yes,Bone Marrow Transplant | Oncology | Liver Transplant | Cardiology,"Pusa Road, Rajinder Nagar, New Delhi 110005",28.6156,77.1956,Epilepsy,Anti-epileptic medication with neurology follow-up,28700,20,14,13,1
592,Sahyadri Super Speciality Hospital Nagar Road,Pune,Maharashtra,Private,130,4.3,Yes,Cardiology | Neurology | Orthopedics | Oncology | Critical Care,"Society Phase 1, Nagar Rd, Near Hermes Heritage, Shastrinagar, Yerawada, Pune 411006",18.4929,73.8865,Migraine,Analgesics/prophylactic medication with trigger management,3100,11,10,8,2
593,Aravind Eye Hospital Coimbatore,Coimbatore,Tamil Nadu,Trust,250,4.7,Yes,Eye Care | Cataract | Retina,"Avinashi Road, Civil Aerodrome Post, Coimbatore 641014",11.0001,76.9358,Parkinson's disease,Dopaminergic medication with physiotherapy and monitoring,24300,27,22,21,1
594,Yash Hospital Surat,Surat,Gujarat,Private,120,4.3,Yes,Cardiology | Internal Medicine | Pulmonology | Orthopedics | Gynaecology,"Citylight Road, Athwa, Surat 395007",21.1909,72.8399,Alzheimer's disease,Cognitive-enhancing medication with long-term caregiving support,22500,13,8,7,1
595,Sterling Hospital Vadodara,Vadodara,Gujarat,Private,240,4.3,Yes,Cardiology | Cardiac Surgery | Oncology | Orthopedics | Nephrology,"Race Course Road, Alkapuri, Vadodara 390007",22.3485,73.1592,Dementia,Supportive medication with cognitive therapy and caregiver support,8200,10,6,6,0
596,Lisie Hospital,Kochi,Kerala,Trust,500,4.5,Yes,Cardiac Sciences | Cardiac Surgery | Orthopedics | Paediatrics,"Lisie Junction, Ernakulam, Kochi 682018",9.8999,76.2613,Multiple sclerosis,Disease-modifying therapy with neurology follow-up,74200,56,42,39,3
597,BAPS Pramukh Swami Hospital,Surat,Gujarat,Trust,225,4.5,Yes,Cardiology | Cardiac Surgery | Oncology | Orthopedics | Nephrology,"Vasta Devdi Road, Adajan, Surat 395009",21.1298,72.8599,Meningitis,Emergency antibiotic/antiviral therapy with intensive monitoring,26700,6,5,4,1
598,Inlaks and Budhrani Hospital,Pune,Maharashtra,Trust,250,4.2,Yes,Cardiology | Oncology | Orthopedics | Gynaecology | Paediatrics | General Medicine,"7-9 Koregaon Park, Pune 411001",18.4815,73.8669,Encephalitis,Hospitalisation with antiviral/supportive neuro-critical care,165600,13,12,9,3
599,LHMC & Sucheta Kriplani,Delhi,Delhi,Government,800,4.2,Yes,Gynaecology | Paediatrics | General Medicine,"Bangla Sahib Marg, Connaught Place, New Delhi 110001",28.6081,77.2402,Neuropathy,Symptomatic medication with management of underlying cause,8900,90,55,52,3
600,IGIMS Patna,Patna,Bihar,Government,1100,4.2,Yes,Cardiac Sciences | Neurology | Oncology | Orthopedics | Transplant,"Sheikhpura, Patna 800014",25.6204,85.1369,Brain tumor,Neurosurgical evaluation with tumour resection and adjuvant therapy,311200,109,79,76,3
601,CMC Vellore,Vellore,Tamil Nadu,Trust,2700,4.7,Yes,General Medicine | Oncology | Haematology | Nephrology | Neurology,"Ida Scudder Road, Vellore 632004",12.8917,79.1423,Appendicitis,Surgical appendectomy with post-operative care,19100,130,84,74,10
602,Aarogya Hospital Raipur,Raipur,Chhattisgarh,Private,120,4.2,Yes,Cardiology | Orthopedics | Gynaecology | IVF | Internal Medicine,"Devendra Nagar, Raipur 492001",21.2493,81.5951,Gastritis,Acid-suppressing medication with dietary modification,5700,3,2,2,0
603,Hindu Mission Hospital,Chennai,Tamil Nadu,Trust,300,4.3,Yes,General Medicine | Cardiology | Gynaecology | Paediatrics | Orthopedics | Surgery | Diabetology,"103, Grand Southern Trunk Rd, New Market, West Tambaram, Chennai 600045",13.0841,80.2648,Gastroenteritis,Rehydration therapy with dietary management,3500,26,22,21,1
604,Manipal Hospital Old Airport Rd,Bengaluru,Karnataka,Private,650,4.4,Yes,Transplant | Oncology | Cardiology | Neurology | Gastroenterology,"98, HAL Old Airport Road, Kodihalli, Bangalore 560017",13.002,77.6331,Acid reflux (GERD),Proton-pump inhibitors with dietary and lifestyle modification,5700,46,30,28,2
605,Wockhardt Hospital Nagpur,Nagpur,Maharashtra,Private,340,4.4,Yes,Cardiology | Cardiac Surgery | Neurosciences | Orthopedics | Bariatric Surgery,"North Ambazari Road, Shankar Nagar, Nagpur 440010",21.1156,79.0854,Peptic ulcer,Acid-suppressing medication with H. pylori eradication if indicated,7200,18,14,12,2
606,Netralaya Super Speciality Eye Hospital,Ahmedabad,Gujarat,Private,30,4.6,Yes,Ophthalmology | Cataract | Retina,"101/102, KD House, Opposite Gujarat Gas, Parimal Garden Cross Road, Ellis Bridge, Ahmedabad 380006",22.9788,72.5934,Irritable bowel syndrome (IBS),Dietary modification with symptomatic medication,3900,3,3,3,0
607,Cheema Medical Complex,Chandigarh,Chandigarh,Private,120,4.3,Yes,Orthopedics | Joint Replacement | Spine,"Phase 4, Mohali 160059",30.7339,76.7683,Inflammatory bowel disease (IBD),Anti-inflammatory/immunosuppressive therapy with dietary management,81500,5,4,4,0
608,Gleneagles Global Chennai,Chennai,Tamil Nadu,Private,1000,4.4,Yes,Transplant | Cardiac Sciences | Neurology | Oncology | Robotic Surgery,"439, Cheran Nagar, Perumbakkam, Chennai 600100",13.0697,80.2912,Crohn's disease,Anti-inflammatory/immunosuppressive therapy with dietary management,19800,113,82,68,14
609,NRS Medical College,Kolkata,West Bengal,Government,1600,4,Yes,General Medicine | Surgery | Trauma | Paediatrics,"138 AJC Bose Road, Sealdah, Kolkata 700014",22.5539,88.3278,Ulcerative colitis,Anti-inflammatory/immunosuppressive therapy with dietary management,32900,60,46,37,9
610,Krishna Shalby Multispeciality Hospital,Ahmedabad,Gujarat,Private,210,4.3,Yes,Joint Replacement | Orthopedics | Cardiology | Neurology | Nephrology | Oncology | General Medicine,"Green City, 319, Ghuma Road, Bopal, Ahmedabad 380058",23.047,72.5349,Gallstones,Laparoscopic cholecystectomy with post-operative recovery,108000,22,17,16,1
611,Wenlock District Hospital,Mangaluru,Karnataka,Government,600,3.8,No,General Medicine | Surgery | Gynaecology | Paediatrics | Trauma,"Hampankatta, Mangalore 575001",12.9306,74.8182,Pancreatitis,Hospitalisation with fluid management and dietary modification,33500,34,26,25,1
612,Netralaya Super Speciality Eye Hospital,Ahmedabad,Gujarat,Private,30,4.6,Yes,Ophthalmology | Cataract | Retina,"101/102, KD House, Opposite Gujarat Gas, Parimal Garden Cross Road, Ellis Bridge, Ahmedabad 380006",22.9851,72.5625,Fatty liver disease,Lifestyle modification with medical management of risk factors,12000,3,2,2,0
613,PGIMER Chandigarh,Chandigarh,Chandigarh,Government,1948,4.7,Yes,Cardiology | Neurology | Oncology | Transplant | Trauma,"Sector 12, Chandigarh 160012",30.7376,76.8036,Cirrhosis,Medical management of complications with liver-function monitoring,35500,132,108,85,23
614,Manipal Hospital Dwarka,Delhi,Delhi,Private,380,4.3,Yes,Cardiology | Neurosciences | Oncology | Orthopedics | Gastroenterology | Transplant,"Sector 6, Dwarka, New Delhi 110075",28.6407,77.1652,Liver cancer,Surgical resection/transplant with chemotherapy as indicated,1453900,42,34,31,3
615,SIMS Hospital Vadapalani,Chennai,Tamil Nadu,Private,350,4.4,Yes,Cardiology | Neurology | Oncology | Orthopedics | Gastroenterology | Liver Transplant | Nephrology,"No 1, Jawaharlal Nehru Salai (100 Feet Road), Vadapalani, Chennai 600026",13.1196,80.3145,Colorectal cancer,Surgical resection with chemotherapy as per oncology protocol,696700,25,20,17,3
616,HN Reliance Foundation,Mumbai,Maharashtra,Trust,345,4.5,Yes,Oncology | Transplant | Cardiac Sciences | Neurology | IVF,"Raja Rammohan Roy Road, Prarthana Samaj, Girgaon, Mumbai 400004",19.031,72.8485,Breast cancer,Surgery with chemotherapy/radiotherapy as per oncology protocol,184200,30,22,19,3
617,Fortis Mulund,Mumbai,Maharashtra,Private,300,4.3,Yes,Cardiac Sciences | Neurology | Gastroenterology | Orthopedics | Oncology,"Mulund Goregaon Link Road, Mulund West, Mumbai 400078",19.1037,72.9107,Oral cancer,Surgical resection with radiotherapy/chemotherapy as indicated,495000,9,6,6,0
618,Primus Super Speciality,Delhi,Delhi,Private,150,4.3,Yes,Bariatric Surgery | Orthopedics | Spine | Urology,"2 Chandragupta Marg, Chanakyapuri, New Delhi 110021",28.5728,77.1793,Cervical cancer,Surgery/radiotherapy with chemotherapy as per oncology protocol,622000,13,8,7,1
619,Fortis Hiranandani Hospital Vashi,Navi Mumbai,Maharashtra,Private,149,4.3,Yes,Cardiology | Neurosciences | Oncology | Orthopedics | Renal Sciences | Kidney Transplant,"Mini Sea Shore Road, Sector 10A, Vashi, Navi Mumbai 400703",19.0494,73.0653,Prostate cancer,Surgery/radiotherapy with hormonal therapy as indicated,731800,11,7,6,1
620,K R Hospital Mysore,Mysuru,Karnataka,Government,850,4,Yes,General Medicine | Surgery | Orthopedics | Paediatrics | Trauma,"Sayyaji Rao Road, Mysore 570001",12.3046,76.6632,Stomach cancer,Surgical resection with chemotherapy as per oncology protocol,319600,86,70,67,3
621,Susrut Eye Foundation and Research Centre,Kolkata,West Bengal,Trust,100,4.4,Yes,Ophthalmology | Cataract | Retina,"HB-36/A/1, Sector III, Salt Lake City, Kolkata 700106",22.6133,88.3366,Blood cancer,Chemotherapy protocol with haematology-oncology supervision,490200,2,2,2,0
622,Healing Hospital,Chandigarh,Chandigarh,Private,180,4.4,Yes,Cardiac Sciences | Orthopedics | Gynaecology | Paediatrics,"Sector 34A, Chandigarh 160022",30.7452,76.7743,Leukemia,Chemotherapy protocol with haematology-oncology supervision,841500,13,8,7,1
623,BM Birla Heart Research,Kolkata,West Bengal,Private,200,4.5,Yes,Cardiology | Cardiac Surgery | Vascular Surgery | Paediatric Cardiac,"1/1 National Library Avenue, Alipore, Kolkata 700027",22.5339,88.3531,Lymphoma,Chemotherapy/radiotherapy with haematology-oncology follow-up,252700,8,7,6,1
624,Specialists' Hospital Kochi,Kochi,Kerala,Private,200,4.4,Yes,Cardiac Sciences | Orthopedics | Gynaecology | General Medicine,"Ernakulam North, Kochi 682018",9.9465,76.31,Brain cancer,Neurosurgical resection with radiotherapy/chemotherapy follow-up,1155100,11,9,8,1
625,Apollo Bannerghatta,Bengaluru,Karnataka,Private,300,4.4,Yes,Cardiac Sciences | Neurology | Oncology | Transplant | Robotic Surgery,"154/11, Bannerghatta Road, Opp IIM, Bangalore 560076",12.9495,77.5852,Ovarian cancer,Surgery with chemotherapy as per oncology protocol,675400,13,11,10,1
626,Kauvery Hospital Marathahalli,Bengaluru,Karnataka,Private,120,4.3,Yes,Cardiology | Neurology | Orthopedics | Gastroenterology | Critical Care | General Medicine,"23713/3, Old HAL Airport Road, Munnekollal Main Rd, Marathahalli, Bengaluru 560037",13.0015,77.5728,Pancreatic cancer,Surgical/chemotherapy management as per oncology protocol,312600,13,11,9,2
627,Fortis Malar Hospital,Chennai,Tamil Nadu,Private,180,4.3,Yes,Cardiac Sciences | Neurology | Gastroenterology | Kidney Transplant,"52 1st Main Road, Gandhi Nagar, Adyar, Chennai 600020",13.0405,80.2569,Thyroid cancer,Surgical resection with radioactive iodine therapy as indicated,369000,9,5,4,1
628,NIMHANS,Bengaluru,Karnataka,Government,897,4.6,Yes,Psychiatry | Neurology | Neurosurgery | Clinical Psychology,"Hosur Road, Lakkasandra, Wilson Garden, Bangalore 560029",12.9558,77.6021,Skin cancer,Surgical excision with follow-up dermatological oncology care,35300,28,22,19,3
629,Medica Hospitals Ranchi,Ranchi,Jharkhand,Private,200,4.3,Yes,Cardiology | Cardiac Surgery | Neurosciences | Oncology | Critical Care,"Plot 27, Smriti Vihar, Ratu Road, Ranchi 834005",23.36,85.329,Fracture,Reduction and immobilisation with surgical fixation if needed,24100,20,12,11,1
